DATE,output
5/1/2006,162.3668
6/1/2006,185.1291
7/1/2006,177.7558
8/1/2006,165.369
9/1/2006,147.2579
10/1/2006,129.3823
11/1/2006,110.9298
12/1/2006,102.6112
1/1/2007,125.273
2/1/2007,139.8364
3/1/2007,152.6186
4/1/2007,169.5643
5/1/2007,166.864
6/1/2007,180.2251
7/1/2007,167.1042
8/1/2007,150.8998
9/1/2007,143.0904
10/1/2007,126.2583
11/1/2007,103.5288
12/1/2007,98.8238
1/1/2008,107.4007
2/1/2008,123.2099
3/1/2008,142.3755
4/1/2008,143.7257
5/1/2008,144.6087
6/1/2008,169.323
7/1/2008,143.0124
8/1/2008,139.3546
9/1/2008,123.8622
10/1/2008,109.151
11/1/2008,101.9991
12/1/2008,83.5211
1/1/2009,90.1829
2/1/2009,113.2595
3/1/2009,129.6004
4/1/2009,132.4908
5/1/2009,138.1005
6/1/2009,150.7516
7/1/2009,136.088
8/1/2009,134.3808
9/1/2009,120.0515
10/1/2009,107.1247
11/1/2009,89.7202
12/1/2009,77.5997
1/1/2010,91.0614
2/1/2010,110.291
3/1/2010,126.936
4/1/2010,132.5606
5/1/2010,134.546
6/1/2010,144.0087
7/1/2010,128.955
8/1/2010,125.6836
9/1/2010,116.2022
10/1/2010,97.8687
11/1/2010,81.1809
12/1/2010,72.8568
1/1/2011,92.694
2/1/2011,106.2412
3/1/2011,114.3063
4/1/2011,116.6569
5/1/2011,116.1452
6/1/2011,120.7594
7/1/2011,116.2293
8/1/2011,114.9575
9/1/2011,101.7077
10/1/2011,91.0539
11/1/2011,76.4688
12/1/2011,71.4222
1/1/2012,85.3582
2/1/2012,99.5207
3/1/2012,112.4495
4/1/2012,114.7836
5/1/2012,114.5502
6/1/2012,124.3389
7/1/2012,112.3361
8/1/2012,107.6638
9/1/2012,96.3988
10/1/2012,88.9214
11/1/2012,74.873
12/1/2012,68.8057
1/1/2013,78.1619
2/1/2013,98.0906
3/1/2013,107.9435
4/1/2013,107.9631
5/1/2013,110.9562
6/1/2013,128.7217
7/1/2013,112.3734
8/1/2013,106.032
9/1/2013,98.1435
10/1/2013,90.9288
11/1/2013,79.9871
12/1/2013,67.7177
1/1/2014,86.2732
2/1/2014,101.5741
3/1/2014,113.5986
4/1/2014,119.1787
5/1/2014,116.4863
6/1/2014,130.9262
7/1/2014,117.2342
8/1/2014,111.4619
9/1/2014,100.7409
10/1/2014,91.458
11/1/2014,86.8436
12/1/2014,75.6865
1/1/2015,84.7084
2/1/2015,99.9338
3/1/2015,109.7283
4/1/2015,107.8084
5/1/2015,107.2963
6/1/2015,116.9729
7/1/2015,108.81
8/1/2015,111.8885
9/1/2015,99.8546
10/1/2015,93.2138
11/1/2015,85.3627
12/1/2015,78.4155
1/1/2016,86.7446
2/1/2016,101.16
3/1/2016,116.9075
4/1/2016,125.0099
5/1/2016,123.4602
6/1/2016,132.2858
7/1/2016,126.2787
8/1/2016,122.119
9/1/2016,108.6728
10/1/2016,102.1418
11/1/2016,86.8832
12/1/2016,81.5799
1/1/2017,92.0139
2/1/2017,108.296
3/1/2017,118.8621
4/1/2017,122.1601
5/1/2017,115.8131
6/1/2017,124.3506
7/1/2017,117.876
8/1/2017,114.0196
9/1/2017,97.2435
10/1/2017,91.4902
11/1/2017,78.4421
12/1/2017,77.7943
1/1/2018,84.2802
2/1/2018,100.4774
3/1/2018,108.3552
4/1/2018,113.4927
5/1/2018,111.3708
6/1/2018,124.5473
